LPR SELECT	State	Latitude (generated)	Longitude (generated)	Total LFPR
Medium Labour Participation Rate state	West Bengal	24.4206	88.0343	560
Medium Labour Participation Rate state	Uttarakhand	30.0939	79.325	544
Medium Labour Participation Rate state	Punjab	31.0732	75.6577	556
Medium Labour Participation Rate state	Odisha	20.2057	84.4853	558
Medium Labour Participation Rate state	Nagaland	26.1236	94.5493	567
Medium Labour Participation Rate state	Manipur	24.7664	93.8647	551
Medium Labour Participation Rate state	Madhya Pradesh	23.5	78.5	554
Medium Labour Participation Rate state	Kerala	10.5502	76.4434	539
Medium Labour Participation Rate state	Jharkhand	23.75	85.5	529
Medium Labour Participation Rate state	Jammu & Kashmir	33.6619	74.8668	524
Medium Labour Participation Rate state	Goa	15.3474	74.1033	535
Medium Labour Participation Rate state	Chandigarh	30.7308	76.7808	538
Medium Labour Participation Rate state	Arunachal Pradesh	28.0762	94.9823	563
Low Labour Participation Rate State	Uttar Pradesh	27.1861	80.835	507
Low Labour Participation Rate State	Puduchery	11.9246	79.7813	493
Low Labour Participation Rate State	Haryana	29.3031	76.0522	505
Low Labour Participation Rate State	Bihar	25.75	85.75	446
Low Labour Participation Rate State	Assam	26.0667	90.7559	516
ABOVE AVRAGE Labour Participation Rate STATE	Tripura	23.7373	91.6575	582
ABOVE AVRAGE Labour Participation Rate STATE	Telangana	17.7956	79.0397	635
ABOVE AVRAGE Labour Participation Rate STATE	Tamil Nadu	10.8327	78.3436	610
ABOVE AVRAGE Labour Participation Rate STATE	Sikkim	27.6003	88.4524	741
ABOVE AVRAGE Labour Participation Rate STATE	Rajasthan	26.686	73.8182	569
ABOVE AVRAGE Labour Participation Rate STATE	Mizoram	23.2379	92.8631	657
ABOVE AVRAGE Labour Participation Rate STATE	Meghalaya	25.5682	91.2546	660
ABOVE AVRAGE Labour Participation Rate STATE	Maharashtra	18.8493	75.4561	596
ABOVE AVRAGE Labour Participation Rate STATE	Karnataka	15.0527	75.5344	592
ABOVE AVRAGE Labour Participation Rate STATE	Himachal Pradesh	31.8299	77.3506	696
ABOVE AVRAGE Labour Participation Rate STATE	Gujarat	23	72	603
ABOVE AVRAGE Labour Participation Rate STATE	Chattisgarh	21.5	82	660
ABOVE AVRAGE Labour Participation Rate STATE	Andhra Pradesh	14.9176	78.7448	635
ABOVE AVRAGE Labour Participation Rate STATE	Andaman & Nicobar Islands	12.612	92.8317	593
