Impact	Year	Number of Records	Values
Employment in agriculture	1/1/1991	1	68.2
GDP share of agriculture	1/1/1991	1	29.39
Literacy rate	1/1/1991	1	48.22
Employment in agriculture	1/1/1992	1	65
GDP share of agriculture	1/1/1992	1	28.74
Literacy rate	1/1/1992	1	49
Employment in agriculture	1/1/1993	1	63.4
GDP share of agriculture	1/1/1993	1	28.68
Literacy rate	1/1/1993	1	49.3
Employment in agriculture	1/1/1994	1	60.5
GDP share of agriculture	1/1/1994	1	28.27
Literacy rate	1/1/1994	1	52.2
Employment in agriculture	1/1/1995	1	61.3
GDP share of agriculture	1/1/1995	1	26.26
Literacy rate	1/1/1995	1	53.3
Employment in agriculture	1/1/1996	1	61.5
GDP share of agriculture	1/1/1996	1	27.13
Literacy rate	1/1/1996	1	54.4
Employment in agriculture	1/1/1997	1	60
GDP share of agriculture	1/1/1997	1	25.89
Literacy rate	1/1/1997	1	56
Employment in agriculture	1/1/1998	1	59.2
GDP share of agriculture	1/1/1998	1	25.79
Literacy rate	1/1/1998	1	56.5
Employment in agriculture	1/1/1999	1	60
GDP share of agriculture	1/1/1999	1	24.5
Literacy rate	1/1/1999	1	57
Employment in agriculture	1/1/2000	1	59.9
GDP share of agriculture	1/1/2000	1	23.02
Literacy rate	1/1/2000	1	59
Employment in agriculture	1/1/2001	1	58.8
GDP share of agriculture	1/1/2001	1	22.92
Literacy rate	1/1/2001	1	61.01
Employment in agriculture	1/1/2002	1	59
GDP share of agriculture	1/1/2002	1	20.7
Literacy rate	1/1/2002	1	61.7
Employment in agriculture	1/1/2003	1	58.2
GDP share of agriculture	1/1/2003	1	20.74
Literacy rate	1/1/2003	1	62.3
Employment in agriculture	1/1/2004	1	56.7
GDP share of agriculture	1/1/2004	1	19.03
Literacy rate	1/1/2004	1	63
Employment in agriculture	1/1/2005	1	55.8
GDP share of agriculture	1/1/2005	1	18.81
Literacy rate	1/1/2005	1	63
Employment in agriculture	1/1/2006	1	55.1
GDP share of agriculture	1/1/2006	1	18.29
Literacy rate	1/1/2006	1	62.75
Employment in agriculture	1/1/2007	1	54.2
GDP share of agriculture	1/1/2007	1	18.26
Literacy rate	1/1/2007	1	64
Employment in agriculture	1/1/2008	1	53.67
GDP share of agriculture	1/1/2008	1	17.78
Literacy rate	1/1/2008	1	65
Employment in agriculture	1/1/2009	1	52.1
GDP share of agriculture	1/1/2009	1	17.74
Literacy rate	1/1/2009	1	66
Employment in agriculture	1/1/2010	1	51.1
GDP share of agriculture	1/1/2010	1	18.21
Literacy rate	1/1/2010	1	68
Employment in agriculture	1/1/2011	1	50.2
GDP share of agriculture	1/1/2011	1	18.96
Literacy rate	1/1/2011	1	69.3
Employment in agriculture	1/1/2012	1	47.2
GDP share of agriculture	1/1/2012	1	18.7
Literacy rate	1/1/2012	1	72.4
Employment in agriculture	1/1/2013	1	47
GDP share of agriculture	1/1/2013	1	18.63
Literacy rate	1/1/2013	1	73.2
Employment in agriculture	1/1/2014	1	47.2
GDP share of agriculture	1/1/2014	1	17.83
Literacy rate	1/1/2014	1	74.4
